id;order_id;order_status;order_date;article_id;category;brand;model;article_price;article_qty;retailer_id;retailer_state;is_active;created_at;updated_at;created_by;updated_by
1;XML;Cancelled;2023-01-15;even-keeled architecture Operations;Audio;primary Rupee Small;attitude panel olive;31617;41523;Savings;e-markets;true;2023-01-14;2023-01-14;bypassing;Squares Jamahiriya Response
2;payment Shoes;Cancelled;2023-01-15;Bedfordshire;Audio;Multi-tiered Pre-emptive Auto;Interface deploy;13715;33967;Senior;extend Buckinghamshire;false;2023-01-14;2023-01-14;Bike quantify program;exuding Keyboard
3;6th port solid;Returned;2023-01-15;expedite;IT;Handcrafted Oval;Street SCSI Tuna;82084;60327;compressing Unbranded;backing Garden loyalty;false;2023-01-14;2023-01-15;mint parse Gloves;systems
4;neural;Open;2023-01-15;backing Multi-channelled;Mobile;white Account calculating;Steel;3861;92699;channels;Soft;false;2023-01-14;2023-01-15;value-added;overriding Buckinghamshire methodologies
5;Court bandwidth;Cancelled;2023-01-15;FTP Officer leverage;CD;Baby;relationships;64880;75828;monitor;circuit;true;2023-01-15;2023-01-15;Forint Kids;Wooden Car CSS
6;systemic;InTransit;2023-01-14;paradigm digital;CD;Optimization brand;Directives;83513;7518;silver;Avon;false;2023-01-14;2023-01-15;Generic Palladium;Analyst
7;payment indigo groupware;FR;2023-01-14;deliverables Developer sky;CD;Bacon;BCEAO Savings;71382;26377;Sausages Nebraska;up Internal;true;2023-01-15;2023-01-14;interfaces Market;deposit payment
8;visualize Kentucky Kentucky;Delivered;2023-01-15;non-volatile Facilitator Dynamic;All;Argentine;Technician Dynamic National;36328;72191;Guadeloupe grey;Avon Bike Configuration;false;2023-01-14;2023-01-15;Consultant Bedfordshire;aggregate
9;Handmade;Returned;2023-01-14;Engineer;Mobile;invoice Brand;Product card primary;37496;58458;Orchestrator;Rustic Dynamic;false;2023-01-14;2023-01-15;mint Soap;bypass secured
10;port;Returned;2023-01-15;Applications;CD;payment;payment Awesome;65630;42249;Cambridgeshire Steel Licensed;Vanuatu;true;2023-01-15;2023-01-14;channels;Chips circuit TCP
