id;start_date;end_date;article_id;category;brand;model;retailer_id;retailer_state;order_qty;total_order_value;is_active;created_at;updated_at;created_by;updated_by
1;2023-01-14;2023-01-14;Home generating;Mobile;Ngultrum bypass Solutions;Handmade reinvent overriding;Loan Buckinghamshire;Estonia copy;65469;34534;false;2023-01-14;2023-01-15;payment Wooden;disintermediate
2;2023-01-14;2023-01-15;Vision-oriented ability;Other;Gorgeous navigating Alley;evolve invoice Wooden;multi-byte Implementation;calculating;97454;26953;true;2023-01-15;2023-01-14;SAS Health;navigating
3;2023-01-15;2023-01-14;Port facilitate;Mobile;parallelism;input frame;Pike;Mouse;52802;37870;false;2023-01-14;2023-01-14;analyzing Louisiana;application deposit Junction
4;2023-01-15;2023-01-15;THX Mobility;All;Gambia;neural;protocol Quetzal;South;41763;30879;false;2023-01-15;2023-01-15;Bacon;back-end Frozen
5;2023-01-15;2023-01-14;Optimized Usability deposit;Storage;Distributed Refined National;enhance reboot;bluetooth;Plastic Baht Integration;73128;81199;false;2023-01-14;2023-01-15;HTTP;Forward
6;2023-01-15;2023-01-15;Armenian;Other;Tobago Lek Chips;applications;application;experiences Licensed Tools;65413;92655;true;2023-01-14;2023-01-14;fuchsia Gorgeous;Lira Wisconsin next-generation
7;2023-01-14;2023-01-14;ADP;CD;engine Down-sized Card;Towels Locks;calculating users approach;Kids Automotive;80215;20011;true;2023-01-14;2023-01-15;override explicit;gold
8;2023-01-14;2023-01-14;open-source Tuna Developer;Audio;Guyana Dinar National;Interactions calculate pink;models engineer;engineer;84548;77761;false;2023-01-14;2023-01-14;hacking contextually-based;Concrete Tasty bypass
9;2023-01-14;2023-01-14;Texas optical;CD;Bedfordshire;Director Taiwan;Soap olive;Investor navigate;76950;76039;true;2023-01-14;2023-01-15;Frozen;methodologies Borders
10;2023-01-15;2023-01-14;Tuna;Audio;panel success;calculate turquoise;Forward;Bedfordshire input;88618;26514;false;2023-01-14;2023-01-15;calculating Wells mission-critical;Savings
