id;article_id;category;brand;model;article_min_price;article_max_price;per_order_article_min_qty;per_order_article_max_qty;per_retailer_article_min_qty;per_retailer_article_max_qty;per_retailer_daily_article_min_qty;per_retailer_daily_article_max_qty;state;rigion;jhi_join;is_active;created_at;updated_at;created_by;updated_by
1;Court;All;open-source;Cotton Fantastic Usability;26157;52539;73918;70733;29036;30330;55570;29718;bleeding-edge Towels Jersey;extranet Tuna silver;AND;false;2023-01-15;2023-01-15;Corner;Security uniform
2;Vietnam Seamless;All;Dong;programming pricing users;93395;50909;45510;29059;62344;94571;10218;65258;Thailand turquoise;drive SCSI;OR;true;2023-01-14;2023-01-15;Plastic;Re-contextualized
3;Credit;IT;Berkshire Towels red;Ergonomic hacking violet;38885;86920;971;48616;14884;42982;4724;35706;grey;withdrawal Berkshire;OR;true;2023-01-15;2023-01-14;Applications;Marketing
4;unleash Village;CD;transmit Metal;Developer copy;98605;30701;8981;8763;79837;95252;33365;58453;primary;withdrawal Account;AND;false;2023-01-15;2023-01-15;Operations withdrawal virtual;Electronics Nebraska Stravenue
5;portals program;Audio;relationships Belize;e-services Lilangeni Avon;42073;20876;97927;68405;50458;32582;13829;81577;embrace Tools Denar;state transmitting;OR;false;2023-01-14;2023-01-15;User-friendly sticky Mouse;Hat Persevering Human
6;parsing Ball;Mobile;Loaf sensor;Savings connect;84083;97526;94141;12123;19086;27685;52570;86946;(Slovak ADP;Sao Product;OR;true;2023-01-14;2023-01-15;Sleek Avon Guinea;optical invoice Fall
7;sensor Oregon transmit;Mobile;bluetooth forecast;azure;78195;73339;88941;81716;47425;81597;74464;13265;front-end Planner;proactive;AND;true;2023-01-14;2023-01-14;Fantastic Wooden;eco-centric initiatives GB
8;matrix;Storage;Keyboard real-time optical;programming digital;48168;88320;22901;52363;74227;59596;5281;14;card;Ethiopian;OR;true;2023-01-15;2023-01-15;lavender Account back;Data Direct feed
9;PNG Alaska Progressive;Other;Handmade Intelligent;Fork blue navigating;24496;63415;92396;23416;35038;48017;90680;93254;transmitter Square;primary panel;OR;false;2023-01-15;2023-01-14;card Shoes;transmitting
10;parse pink;SDA;interface New;Music Chief Jewelery;28447;80058;10620;53910;58805;93822;5295;73143;backing;ivory Interactions;AND;false;2023-01-15;2023-01-14;Cross-platform violet;Assistant
